Project Name,PXID,submittter,#PSM,Species,Superkingdom,#MS Runs,Instrument,Fragment method,Enzyme,#Download ,relsease date,MS2
The reanalysis results of HuiYan-Bat Rhinolophus sinicus Trypsin,HuiYan-Bat,π-MSNet,2334922,Rhinolophus sinicus,Eukaryote,40,timsTOF,HCD@43,Trypsin,0,,
The reanalysis results of HuiYan-E480 Homo sapiens Trypsin,HuiYan-E480,π-MSNet,58527901,Homo sapiens,Eukaryote,763,Orbitrap Exploris 480,HCD@28,Trypsin,0,,138043816
The reanalysis results of IPX0000937001 Homo sapiens Trypsin,IPX0000937001,π-MSNet,24924726,Homo sapiens,Eukaryote,1344,Orbitrap Fusion,HCD@32,Trypsin,0,,81468713
The reanalysis results of IPX0000937003 Homo sapiens Trypsin,IPX0000937003,π-MSNet,6551233,Homo sapiens,Eukaryote,585,Orbitrap Fusion,HCD@32.0,Trypsin,0,,26420923
The reanalysis results of IPX0001289001 Homo sapiens Trypsin,IPX0001289001,π-MSNet,17387674,Homo sapiens,Eukaryote,1139,Orbitrap Fusion Lumos,HCD@32.0,Trypsin,0,,68559630
The reanalysis results of IPX0001590001 Homo sapiens Trypsin,IPX0001590001,π-MSNet,7488098,Homo sapiens,Eukaryote,659,Q Exactive Plus,HCD@30.00,Trypsin,0,,13373850
The reanalysis results of IPX0001804001 Homo sapiens Trypsin,IPX0001804001,π-MSNet,23982246,Homo sapiens,Eukaryote,2136,Orbitrap Fusion,HCD@32.00,Trypsin,0,,96298684
The reanalysis results of IPX0001804002 Homo sapiens Trypsin,IPX0001804002,π-MSNet,1426890,Homo sapiens,Eukaryote,451,Orbitrap Fusion,HCD@32.0,Trypsin,0,,5076570
The reanalysis results of IPX0002031000 Homo sapiens Trypsin,IPX0002031000,π-MSNet,27013882,Homo sapiens,Eukaryote,724,Q Exactive HF-X,HCD@27.00,Trypsin,0,,88130778
The reanalysis results of IPX0004073001 Homo sapiens Trypsin,IPX0004073001,π-MSNet,1018214,Homo sapiens,Eukaryote,120,Orbitrap Fusion Lumos,HCD@30.00,Trypsin,0,,5282018
The reanalysis results of PXD000561 Homo sapiens Trypsin,PXD000561,π-MSNet,10334261,Homo sapiens,Eukaryote,2187,Q Exactive HF,HCD@27.00,Trypsin,0,,24885505
The reanalysis results of PXD000612 Homo sapiens Trypsin,PXD000612,π-MSNet,6416764,Homo sapiens,Eukaryote,231,Q Exactive,HCD@25.00,Trypsin,0,,12725253
The reanalysis results of PXD000865 Homo sapiens Chymotrypsin,PXD000865,π-MSNet,148896,Homo sapiens,Eukaryote,168,LTQ Orbitrap Velos,HCD@30.00,Chymotrypsin,0,,3276516
The reanalysis results of PXD000865 Homo sapiens Lys-C,PXD000865,π-MSNet,529187,Homo sapiens,Eukaryote,120,LTQ Orbitrap Elite,HCD@30.00,Lys-C,0,,3276516
The reanalysis results of PXD000865 Homo sapiens Trypsin,PXD000865,π-MSNet,4990620,Homo sapiens,Eukaryote,767,LTQ Orbitrap Velos,HCD@30.00,Trypsin,0,,9994271
The reanalysis results of PXD002137 Homo sapiens Trypsin,PXD002137,π-MSNet,18775812,Homo sapiens,Eukaryote,192,Q Exactive,HCD@25.00,Trypsin,0,,11179011
The reanalysis results of PXD002395 Homo sapiens Trypsin,PXD002395,π-MSNet,3796473,Homo sapiens,Eukaryote,198,LTQ Orbitrap Velos,HCD@40.00,Trypsin,0,,6376081
The reanalysis results of PXD002767 Solanum tuberosum Trypsin,PXD002767,π-MSNet,2666095,Solanum tuberosum,Eukaryote,297,Q Exactive,HCD@30.00,Trypsin,0,,8185557
The reanalysis results of PXD002854 Homo sapiens Trypsin,PXD002854,π-MSNet,548653,Homo sapiens,Eukaryote,174,Q Exactive HF,HCD@27.00,Trypsin,0,,865966+1000662+205052
The reanalysis results of PXD003903 Homo sapiens Trypsin,PXD003903,π-MSNet,7325444,Homo sapiens,Eukaryote,335,Q Exactive Plus,HCD@27.00,Trypsin,0,,24909962
The reanalysis results of PXD003947 Homo sapiens Trypsin,PXD003947,π-MSNet,740197,Homo sapiens,Eukaryote,103,Q Exactive Plus,HCD@30.00,Trypsin,0,,2568210
The reanalysis results of PXD004242 Homo sapiens Trypsin,PXD004242,π-MSNet,5197467,Homo sapiens,Eukaryote,1289,Q Exactive HF,HCD@27.00,Trypsin,0,,26078962
The reanalysis results of PXD004452 Homo sapiens Gluc,PXD004452,π-MSNet,154347,Homo sapiens,Eukaryote,39,Q Exactive HF,HCD@28.00,Gluc,0,,1252604
The reanalysis results of PXD004452 Homo sapiens Trypsin,PXD004452,π-MSNet,5495744,Homo sapiens,Eukaryote,789,Q Exactive HF,HCD@28.00,Trypsin,0,,12972595
The reanalysis results of PXD004732 Homo sapiens Trypsin,PXD004732,π-MSNet,14298028,Homo sapiens,Eukaryote,538,Orbitrap Fusion Lumos,HCD@35.00,Trypsin,0,,28046778
The reanalysis results of PXD006225 Drosophila melanogaster Trypsin,PXD006225,π-MSNet,536276,Drosophila melanogaster,Eukaryote,31,Q Exactive Plus,HCD@27.00,Trypsin,0,,7506487
The reanalysis results of PXD006675 Homo sapiens Trypsin,PXD006675,π-MSNet,9272915,Homo sapiens,Eukaryote,585,Q Exactive HF,HCD@27.00,Trypsin,0,,43779137
The reanalysis results of PXD008333 Homo sapiens Trypsin,PXD008333,π-MSNet,2036467,Homo sapiens,Eukaryote,201,Q Exactive Plus,HCD@27.00,Trypsin,0,,6379338
The reanalysis results of PXD008722 Homo sapiens Trypsin,PXD008722,π-MSNet,3642440,Homo sapiens,Eukaryote,252,Q Exactive HF,HCD@28.00,Trypsin,0,,8138819
The reanalysis results of PXD008840 Homo sapiens Trypsin,PXD008840,π-MSNet,9733821,Homo sapiens,Eukaryote,504,Orbitrap Fusion,HCD@32.00,Trypsin,0,,33088501
